Pavardė            Vardas              ND1       ND2       ND3       ND4       ND5       Egzaminas 
Pavardė1           Vardas1             1         5         4         4         9         1         
Pavardė2           Vardas2             1         3         9         4         2         9         
Pavardė3           Vardas3             1         9         8         5         7         7         
Pavardė4           Vardas4             6         10        9         1         10        1         
Pavardė5           Vardas5             6         9         10        10        5         6         
Pavardė6           Vardas6             9         9         3         9         6         6         
Pavardė7           Vardas7             8         10        6         8         2         6         
Pavardė8           Vardas8             10        9         6         5         3         2         
Pavardė9           Vardas9             10        9         7         10        4         6         
Pavardė10          Vardas10            2         6         6         6         2         4         
Pavardė11          Vardas11            5         2         2         5         10        5         
Pavardė12          Vardas12            7         3         2         8         5         7         
Pavardė13          Vardas13            2         3         7         5         1         1         
Pavardė14          Vardas14            9         1         7         5         2         1         
Pavardė15          Vardas15            7         2         9         10        7         8         
Pavardė16          Vardas16            8         8         9         1         1         4         
Pavardė17          Vardas17            7         5         6         7         10        9         
Pavardė18          Vardas18            1         7         3         10        2         3         
Pavardė19          Vardas19            3         2         5         2         7         9         
Pavardė20          Vardas20            6         7         2         6         10        2         
Pavardė21          Vardas21            4         6         10        1         4         3         
Pavardė22          Vardas22            2         6         3         3         7         1         
Pavardė23          Vardas23            1         4         1         9         4         9         
Pavardė24          Vardas24            9         6         1         4         3         3         
Pavardė25          Vardas25            8         9         10        10        2         9         
Pavardė26          Vardas26            1         7         9         6         9         9         
Pavardė27          Vardas27            10        1         8         9         7         3         
Pavardė28          Vardas28            1         1         6         7         5         6         
Pavardė29          Vardas29            9         5         2         4         3         6         
Pavardė30          Vardas30            3         7         2         6         8         10        
Pavardė31          Vardas31            10        4         4         9         3         2         
Pavardė32          Vardas32            7         4         7         10        5         2         
Pavardė33          Vardas33            3         9         8         1         4         8         
Pavardė34          Vardas34            2         1         5         9         2         8         
Pavardė35          Vardas35            6         10        4         7         2         7         
Pavardė36          Vardas36            8         1         7         9         4         7         
Pavardė37          Vardas37            5         9         4         5         10        4         
Pavardė38          Vardas38            10        10        10        8         10        10        
Pavardė39          Vardas39            4         8         2         8         8         4         
Pavardė40          Vardas40            1         5         10        9         8         5         
Pavardė41          Vardas41            9         8         1         5         7         7         
Pavardė42          Vardas42            8         9         5         9         1         8         
Pavardė43          Vardas43            5         10        3         6         3         6         
Pavardė44          Vardas44            9         9         1         4         8         9         
Pavardė45          Vardas45            3         6         9         1         5         6         
Pavardė46          Vardas46            9         4         10        8         6         5         
Pavardė47          Vardas47            5         3         6         1         6         8         
Pavardė48          Vardas48            1         7         6         4         2         7         
Pavardė49          Vardas49            3         6         8         3         5         4         
Pavardė50          Vardas50            7         6         4         7         3         7         
Pavardė51          Vardas51            3         6         4         2         9         10        
Pavardė52          Vardas52            2         5         3         7         7         8         
Pavardė53          Vardas53            9         5         3         4         4         4         
Pavardė54          Vardas54            2         5         1         7         5         1         
Pavardė55          Vardas55            8         9         10        8         9         9         
Pavardė56          Vardas56            8         10        3         8         3         1         
Pavardė57          Vardas57            9         6         7         2         1         4         
Pavardė58          Vardas58            10        1         10        4         1         5         
Pavardė59          Vardas59            8         5         10        10        10        10        
Pavardė60          Vardas60            6         7         1         5         2         3         
Pavardė61          Vardas61            3         3         8         9         7         8         
Pavardė62          Vardas62            2         9         9         4         10        5         
Pavardė63          Vardas63            5         10        3         3         8         2         
Pavardė64          Vardas64            9         10        10        7         5         1         
Pavardė65          Vardas65            9         7         1         6         10        5         
Pavardė66          Vardas66            5         8         3         7         9         7         
Pavardė67          Vardas67            7         5         9         10        10        7         
Pavardė68          Vardas68            3         6         9         8         6         7         
Pavardė69          Vardas69            8         5         9         2         10        1         
Pavardė70          Vardas70            5         8         8         1         1         7         
Pavardė71          Vardas71            5         4         6         8         1         4         
Pavardė72          Vardas72            8         2         7         8         6         3         
Pavardė73          Vardas73            4         1         1         8         10        8         
Pavardė74          Vardas74            7         8         4         2         10        10        
Pavardė75          Vardas75            8         2         4         2         9         3         
Pavardė76          Vardas76            1         2         6         2         8         6         
Pavardė77          Vardas77            8         9         5         4         4         7         
Pavardė78          Vardas78            3         4         2         1         8         10        
Pavardė79          Vardas79            8         2         10        4         2         3         
Pavardė80          Vardas80            6         7         2         4         5         10        
Pavardė81          Vardas81            6         4         8         1         8         4         
Pavardė82          Vardas82            5         5         7         1         3         5         
Pavardė83          Vardas83            3         6         5         7         10        3         
Pavardė84          Vardas84            3         7         6         6         2         10        
Pavardė85          Vardas85            2         6         6         4         9         9         
Pavardė86          Vardas86            8         4         3         8         5         3         
Pavardė87          Vardas87            3         7         1         10        5         1         
Pavardė88          Vardas88            7         5         3         10        3         7         
Pavardė89          Vardas89            4         4         5         6         2         5         
Pavardė90          Vardas90            3         1         7         10        1         3         
Pavardė91          Vardas91            4         2         6         6         10        8         
Pavardė92          Vardas92            7         6         5         4         4         1         
Pavardė93          Vardas93            6         6         7         9         9         6         
Pavardė94          Vardas94            5         5         1         3         9         4         
Pavardė95          Vardas95            4         6         10        9         10        5         
Pavardė96          Vardas96            4         4         8         8         9         8         
Pavardė97          Vardas97            4         2         8         4         5         4         
Pavardė98          Vardas98            3         2         10        9         4         8         
Pavardė99          Vardas99            2         6         7         5         3         1         
Pavardė100         Vardas100           5         1         2         9         6         5         
